"By Administrative District","Item","UNIT","2020.01 Month","2020.02 Month","2020.03 Month","2020.04 Month","2020.05 Month","2020.06 Month","2020.07 Month","2020.08 Month","2020.09 Month","2020.10 Month","2020.11 Month","2020.12 Month","2021.01 Month","2021.02 Month","2021.03 Month","2021.04 Month","2021.05 Month","2021.06 Month","2021.07 Month","2021.08 Month","2021.09 Month","2021.10 Month","2021.11 Month","2021.12 Month","2022.01 Month","2022.02 Month","2022.03 Month","2022.04 Month","2022.05 Month","2022.06 Month","2022.07 Month","2022.08 Month","2022.09 Month","2022.10 Month","2022.11 Month","2022.12 Month","2023.01 Month","2023.02 Month","2023.03 Month","2023.04 Month","2023.05 Month","2023.06 Month","2023.07 Month","2023.08 Month","2023.09 Month","2023.10 Month","2023.11 Month","2023.12 Month","2024.01 Month","2024.02 Month","2024.03 Month","2024.04 Month","2024.05 Month","2024.06 Month","2024.07 Month","2024.08 Month","2024.09 Month","2024.10 Month","2024.11 Month","2024.12 Month","2025.01 Month","2025.02 Month","2025.03 Month","2025.04 Month","2025.05 Month","2025.06 Month","2025.07 Month","2025.08 Month","2025.09 Month","2025.10 Month","2025.11 Month",
"Incheon","Household[Household]","Household","1239915","1242107","1243983","1246255","1249739","1251818","1253957","1256383","1259167","1261590","1264300","1267956","1270669","1273377","1272361","1275194","1277842","1280291","1283524","1286458","1290829","1294158","1296517","1298647","1300292","1303227","1306725","1308777","1311588","1313975","1317046","1319683","1318437","1320238","1321231","1322632","1324140","1326947","1330898","1333148","1335225","1336603","1339361","1341807","1344029","1345719","1347984","1350912","1352622","1355494","1359114","1361550","1363146","1364650","1366579","1368072","1370309","1371450","1372151","1373827","1375788","1380110","1383536","1385644","1387911","1389855","1391254","1393210","1396627","1398222","1399411",
"Jung-gu","Household[Household]","Household","65464","65934","66431","66783","67178","67377","67572","67749","67883","68014","68246","68379","68487","68623","68322","68527","68763","68940","69295","69724","70171","70478","70748","71061","71282","71696","72111","72548","72990","73401","73918","74300","74838","75294","75682","75960","76141","76378","76484","77145","77663","77965","78165","78276","78508","78924","79155","79520","79803","80770","81243","81548","81811","82304","82631","82772","82994","83154","83444","83800","84410","85590","86142","86428","86741","87045","87313","87578","87966","88261","88540",
"Jung-gu youngjong branch office","Household[Household]","Household","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Jung-gu yongyu branch office","Household[Household]","Household","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Dong-gu","Household[Household]","Household","28748","28746","28724","28723","28738","28717","28694","28694","28726","28702","28735","28777","28838","28854","28383","28398","28393","28420","28930","29007","28973","28876","28772","28681","28572","28448","28254","27989","27783","27648","27572","27528","27359","27428","27524","27618","27757","27815","27877","27970","28118","28196","28220","28219","28238","28174","28123","28091","28058","28021","27990","27969","27944","27910","27886","27890","27880","27836","27826","27792","27750","27701","27639","27562","27523","27503","27459","27393","27338","27304","27255",
"Michuhol-gu","Household[Household]","Household","184881","184796","184936","185355","185953","186368","186624","186683","186815","186771","187034","188277","188840","189349","189013","189331","189754","190300","190636","191537","192332","192769","193113","193561","193778","194065","194357","194542","194998","195162","195308","195955","195391","195400","195153","194841","194564","194606","195013","195178","195194","195189","195811","196193","196206","196239","196079","196607","196899","197268","197663","198109","198511","198835","199193","199511","200463","201038","201234","201075","201203","202360","203313","203666","204164","204477","204961","205294","205521","205484","205334",
"Yeonsu-gu","Household[Household]","Household","141198","142233","142919","143327","143922","144316","145196","146942","148531","150030","151312","152266","152940","153591","154672","155069","155402","155462","155510","155528","155816","155914","155950","155984","155932","155844","156689","156787","156685","156489","156288","156230","156301","156362","156282","156047","155845","156287","157800","158147","158409","158561","158575","158542","158949","159414","159777","159905","159854","160078","161090","161456","161631","161797","162380","162904","163640","163910","164038","163940","163884","164215","165292","165977","166367","166626","166797","167283","168172","168508","168733",
"Namdong-gu","Household[Household]","Household","221701","222280","222776","223144","223770","224095","224230","224411","224685","224979","225146","225394","225780","226114","225916","226346","226567","226911","227202","227340","227628","227888","228131","228442","228599","228723","228854","228876","228517","228231","228195","227612","227139","227114","226903","226763","226589","226328","226387","226289","226249","226224","225845","225493","225302","224875","224365","224268","224237","224332","224419","224315","224337","224306","224498","224733","224756","224722","224700","224816","224930","224910","224969","224992","224957","225044","225049","225157","225200","225109","225107",
"Bupyeong-gu","Household[Household]","Household","211691","211480","211176","211079","211152","211043","211037","210917","210914","210950","210966","211305","211686","211995","211070","211464","212042","212435","212758","212846","213128","213289","213286","213372","213484","213598","213637","213620","215100","216391","217299","218240","217634","217859","217825","217924","218449","219116","219569","219660","219732","219959","219946","220018","220016","220034","221574","223271","224024","224353","224412","224470","224509","224613","224635","224672","224650","224464","224321","224988","225553","225955","226088","226251","226389","226491","226497","226457","226455","226342","226262",
"Gyeyang-gu","Household[Household]","Household","123200","123177","123183","123242","123447","123546","123581","123546","123654","123830","124182","124421","124514","125072","125430","125874","126118","126314","126611","126666","126668","127170","127761","127984","128068","128063","128073","128079","128214","128181","128172","128134","127618","127534","127352","127201","127056","126891","126758","126685","126728","126665","126447","126352","126218","126053","125795","125640","125549","125606","126187","126806","127102","127348","127493","127642","127698","127689","127664","127670","127621","127590","127583","127600","127613","127602","127649","127816","128221","128423","128489",
"Seo-gu","Household[Household]","Household","218156","218546","218926","219578","220309","221000","221525","221848","222244","222526","222837","223229","223655","223792","223727","224252","224746","225337","226279","227473","229709","231257","232113","232834","233802","235870","237705","239146","239984","241083","242783","244140","244591","245695","246944","248741","250209","251983","253473","254490","255561","256292","258808","261144","263059","264468","265596","266168","266720","267563","268615","269384","269820","270043","270318","270396","270619","270858","271065","271798","272493","273777","274429","275014","275983","276849","277290","277946","279422","280429","281275",
"Seo-gu geomdan branch office","Household[Household]","Household","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Ganghwa-gun","Household[Household]","Household","33194","33220","33235","33322","33483","33558","33618","33693","33796","33814","33845","33915","33972","34029","33880","33984","34095","34180","34252","34305","34374","34433","34533","34667","34713","34825","34881","34952","35058","35124","35170","35178","35147","35119","35126","35114","35105","35104","35113","35142","35127","35104","35066","35100","35072","35067","35049","35005","35025","35035","35039","35044","35074","35054","35083","35114","35191","35393","35507","35588","35643","35728","35778","35810","35850","35904","35937","35983","36025","36041","36096",
